CompletaKit;CodPais
CompletaKit;Dealer
CompletaKit;No
CompletaKit;Codigo
Compra;CodPais
Compra;Dealer
Compra;Tda
Compra;CompraNo
CompraAnexo;CodPais
CompraAnexo;Dealer
CompraAnexo;Tda
CompraAnexo;TipoDoc
CompraAnexo;Serie
CompraAnexo;DocNo
CompraAnterior;CodPais
CompraAnterior;Dealer
CompraAnterior;Tda
CompraAnterior;CompraNo
ComprasChica;CodPais
ComprasChica;Dealer
ComprasChica;Tda
ComprasChica;CompraNo
CompRegalia;CodPais
CompRegalia;Dealer
CompRegalia;No
CompRegalia;Codigo
ConcesionPrecio;CodPais
ConcesionPrecio;Dealer
ConcesionPrecio;Fecha
ConcesionPrecio;Hora
ConcesionPrecio;Codigo
ConcesionPrecio;ClienteNo
Conciliacion;CodPais
Conciliacion;Dealer
Conciliacion;Mes
Conciliacion;Banco
Conciliacion;Tipo
Conciliacion;Documento
Conciliacion;Contabilidad
Conciliacion;EdocCta
Conexion;CodPais
Conexion;Dealer
Conexion;ID
ConfEstResul;CodPais
ConfEstResul;Dealer
ConfEstResul;OrdenAparicion
Config;CodPais
Config;Dealer
ConfigComprasInternas;CodPais
ConfigComprasInternas;Dealer
ConfigComprasInternas;ClienteNo
ConfigComprasInternas;DealerPertenece
ConfigDespacho;CodPais
ConfigDespacho;Dealer
ConfigDocsImpresion;CodPais
ConfigDocsImpresion;Dealer
ConfigDocsImpresion;Tda
ConfigDocsImpresion;TipoDoc
ConfigGeneracionDocs;Proceso
ConfigGeneracionDocs;Tda
ConfigMarca;CodPais
ConfigMarca;Empresa
ConfigNData;CodPais
ConfigNData;Dealer
ConfigPBS;CodPais
ConfigPBS;Dealer
ConfigPBS;Tda
ConfigPBS;Impresora
ConfigPorcentMermas;CodPais
ConfigPorcentMermas;Dealer
ConfigPorcentMermas;Codigo
ConfigProd;CodPais
ConfigProd;Dealer
ConfigProduct;CodPais
ConfigProduct;Dealer
ConfigSFA;ID
Configuracion;CodPais
Configuracion;Empresa
ConfigWebService;CodPais
ConfigWebService;Dealer
ConfNivel;CodPais
ConfNivel;Dealer
ConfNivel;Nivel
ConfPresupuesto;CodPais
ConfPresupuesto;Dealer
ConfPresupuesto;OrdenAparicion
ConfProv;CodPais
ConfProv;Dealer
Consignatario;CodPais
Consignatario;Dealer
Consignatario;Codigo
ConsultaMultiple;CodPais
ConsultaMultiple;Dealer
ConsultaMultiple;Tda
ConsultaMultiple;IDCM
ConsultaMultiple;LineaNo
Consumo;CodPais
Consumo;Dealer
Consumo;Tda
Consumo;Serie
Consumo;TipoReq
Consumo;ReqNo
